lat,lon,temp_c,wind_ms,solar_wm2,precip_mm,water_dist_m,road_dist_m,building_dist_m,s_temperature,s_wind,s_solar,s_precipitation,s_water,s_road,s_land_cover,s_building,suitability,ml_suitability
-4.5200,39.8600,,,,,36997.7354,36933.4474,36746.5965,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,1.0000,1.0000,0.4300,0.4760
-4.5200,39.9600,,,,,47712.5004,47609.1989,47596.0323,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,1.0000,1.0000,0.4300,0.4757
-4.5200,40.0600,,,,,58119.2763,58052.6374,58052.7673,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4270
-4.5200,40.1600,,,,,68305.1419,68337.1958,68170.7580,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4266
-4.5200,40.2600,,,,,78738.0241,78627.6304,78466.4455,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.5200,40.3600,,,,,89331.5972,89073.0100,88953.8807,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.5200,40.4600,,,,,99209.1533,98027.2105,97963.0689,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.5200,40.5600,,,,,108197.2334,107383.3794,107313.8711,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4260
-4.5200,40.6600,,,,,117547.4544,117045.3309,116971.5101,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4260
-4.5200,40.7600,,,,,127180.1358,126832.1827,126866.1005,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4261
-4.5200,40.8600,,,,,137035.8923,136530.2014,136602.4439,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.5200,40.9600,,,,,147070.0487,146418.4121,146419.2823,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.5200,41.0600,,,,,157248.6218,156434.1159,156408.9608,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.5200,41.1600,,,,,167545.4565,166569.2025,166540.5434,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.5200,41.2600,,,,,177940.1861,176560.0284,176789.7977,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4262
-4.5200,41.3600,,,,,188416.7703,186650.5519,187137.5522,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.5200,41.4600,,,,,198945.7808,196851.3415,197555.4919,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
-4.5200,41.5600,,,,,209521.2859,207146.2680,208006.1389,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.4000,1.0000,0.3580,0.4263
